hex_string,utf8_string,emoji_desc
1F449 1F3FF,\u00f0\u009f\u0091\u0089\u00f0\u009f\u008f\u00bf,backhand index pointing right: dark skin tone
1F446,\u00f0\u009f\u0091\u0086,backhand index pointing up
1F446 1F3FB,\u00f0\u009f\u0091\u0086\u00f0\u009f\u008f\u00bb,backhand index pointing up: light skin tone
1F446 1F3FC,\u00f0\u009f\u0091\u0086\u00f0\u009f\u008f\u00bc,backhand index pointing up: medium-light skin tone
1F446 1F3FD,\u00f0\u009f\u0091\u0086\u00f0\u009f\u008f\u00bd,backhand index pointing up: medium skin tone
1F446 1F3FE,\u00f0\u009f\u0091\u0086\u00f0\u009f\u008f\u00be,backhand index pointing up: medium-dark skin tone
1F446 1F3FF,\u00f0\u009f\u0091\u0086\u00f0\u009f\u008f\u00bf,backhand index pointing up: dark skin tone
1F595,\u00f0\u009f\u0096\u0095,middle finger
1F595 1F3FB,\u00f0\u009f\u0096\u0095\u00f0\u009f\u008f\u00bb,middle finger: light skin tone
1F595 1F3FC,\u00f0\u009f\u0096\u0095\u00f0\u009f\u008f\u00bc,middle finger: medium-light skin tone
1F595 1F3FD,\u00f0\u009f\u0096\u0095\u00f0\u009f\u008f\u00bd,middle finger: medium skin tone
1F595 1F3FE,\u00f0\u009f\u0096\u0095\u00f0\u009f\u008f\u00be,middle finger: medium-dark skin tone
1F595 1F3FF,\u00f0\u009f\u0096\u0095\u00f0\u009f\u008f\u00bf,middle finger: dark skin tone
1F447,\u00f0\u009f\u0091\u0087,backhand index pointing down
1F447 1F3FB,\u00f0\u009f\u0091\u0087\u00f0\u009f\u008f\u00bb,backhand index pointing down: light skin tone
1F447 1F3FC,\u00f0\u009f\u0091\u0087\u00f0\u009f\u008f\u00bc,backhand index pointing down: medium-light skin tone
1F447 1F3FD,\u00f0\u009f\u0091\u0087\u00f0\u009f\u008f\u00bd,backhand index pointing down: medium skin tone
1F447 1F3FE,\u00f0\u009f\u0091\u0087\u00f0\u009f\u008f\u00be,backhand index pointing down: medium-dark skin tone
1F447 1F3FF,\u00f0\u009f\u0091\u0087\u00f0\u009f\u008f\u00bf,backhand index pointing down: dark skin tone
261D FE0F,\u00e2\u0098\u009d\u00ef\u00b8\u008f,index pointing up
